"Date","Market","Component","Delmo","Segment","Price"
2017-07-03,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.301
2017-07-03,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.283
2017-07-03,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.222
2017-07-03,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.824
2017-07-03,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.792
2017-07-03,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.82
2017-07-03,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.848
2017-07-03,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.855
2017-07-03,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.831
2017-07-03,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.85
2017-07-03,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.897
2017-07-03,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.023
2017-07-05,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.181
2017-07-05,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.168
2017-07-05,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.116
2017-07-05,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.769
2017-07-05,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.742
2017-07-05,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.771
2017-07-05,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.8
2017-07-05,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.808
2017-07-05,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.785
2017-07-05,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.805
2017-07-05,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.854
2017-07-05,"NYMEX ","NG    ",2018-12-01,"rtcPrice",2.984
2017-07-06,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.217
2017-07-06,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.204
2017-07-06,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.149
2017-07-06,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.79
2017-07-06,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.757
2017-07-06,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.784
2017-07-06,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.812
2017-07-06,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.82
2017-07-06,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.797
2017-07-06,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.815
2017-07-06,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.863
2017-07-06,"NYMEX ","NG    ",2018-12-01,"rtcPrice",2.993
2017-07-07,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.201
2017-07-07,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.189
2017-07-07,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.137
2017-07-07,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.786
2017-07-07,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.757
2017-07-07,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.784
2017-07-07,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.812
2017-07-07,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.82
2017-07-07,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.797
2017-07-07,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.816
2017-07-07,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.867
2017-07-07,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.001
2017-07-10,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.269
2017-07-10,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.255
2017-07-10,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.199
2017-07-10,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.822
2017-07-10,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.786
2017-07-10,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.811
2017-07-10,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.838
2017-07-10,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.846
2017-07-10,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.824
2017-07-10,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.843
2017-07-10,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.893
2017-07-10,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.026
2017-07-11,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.367
2017-07-11,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.351
2017-07-11,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.287
2017-07-11,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.879
2017-07-11,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.839
2017-07-11,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.865
